Device Fuse Register Read,
FW Version,8523
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,2161.16

Test Condition,Power Measurement - At Reset Condition
Register,Address,Value
Res_Req Reg,fa01,0x0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.112,389.4,350.02,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,2.33,3.296,769.12,233.036,ade8
0x44,01df,7.32,1.104,807.4,731.94,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,2161.16

Test Condition,Power Measurement - All Port Enabled
Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.45,1.112,162.8,144.98,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,2.41,1.112,266.2,241.01,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.46,3.28,150.88,40.02,ade8
Total Power,,,,856.08

Test Condition,Power Measurement - Uc Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0010

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,2.33,3.296,765.44,233.036,ade8
0x44,01df,7.19,1.104,792.0,718.96,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,2142.08

Test Condition,Power Measurement - SGMII PHY in Low Power Mode
Register,Address,Value
Res_Req Reg,D009,0x000C

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.46,2.504,114.4,45.98,9174
0x43,01df,2.33,3.296,769.12,232.024,ade8
0x44,01df,7.2,1.104,796.4,719.95,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,2150.16

Test Condition,Power Measurement - SGMII Port Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,2.33,3.296,769.12,233.036,ade8
0x44,01df,7.2,1.104,796.4,719.95,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,2150.16

Test Condition,Power Measurement - GPHY0 Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0031

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,2.71,1.112,303.6,271.04,9174
0x41,01df,0.46,2.504,114.4,45.98,9174
0x43,01df,1.86,3.296,612.72,186.024,ade8
0x44,01df,5.89,1.104,653.4,588.94,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,1764.96

Test Condition,"Power Measurement - GPHY0,GPHY1 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0033

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.9,1.112,213.4,189.97,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,1.37,3.296,452.64,136.988,ade8
0x44,01df,4.55,1.108,503.8,454.96,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,1365.08

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.08,1.112,118.8,108.02,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,0.89,3.296,292.56,88.964,ade8
0x44,01df,3.19,1.108,354.2,319.0,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,960.8

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.108,28.6,25.96,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.65,1.112,184.8,165.0,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,537.44

Test Condition,Power Measurement - ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.25,1.112,28.6,24.97,9174
0x41,01df,0.45,2.504,112.2,45.98,9174
0x43,01df,0.36,3.296,114.08,34.96,ade8
0x44,01df,1.61,1.112,180.4,161.04,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,500.72

Test Condition,Power Measurement - CDB Disabled
Register,Address,Value
Res_Req Reg,F880,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.08,1.108,11.0,8.03,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.28,3.296,93.84,27.968,ade8
0x44,01df,0.1,1.112,11.0,10.01,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.15,3.28,47.84,14.996,ade8
Total Power,,,,293.48

