Device Fuse Register Read,
Res_Req Reg,fa01,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.07,1.112,118.8,108.02,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.45,3.296,145.36,42.044,ade8
0x44,01df,1.34,1.112,147.4,133.98,9174
0x45,01df,0.12,2.512,33.0,12.98,9174
0x47,01df,0.43,3.276,141.68,46.0,ade8

Total Power,,,,698.44

Test Condition,,Description,Power Measurement - Uc Disabled

Register,Address,Value
Res_Req Reg,fa01,0x0010

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.94,1.112,105.6,94.05,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.45,3.296,138.0,42.044,ade8
0x44,01df,1.34,1.112,147.4,133.98,9174
0x45,01df,0.13,2.512,28.6,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,655.08

Test Condition,,Description,Power Measurement - SGMII PHY in Low Power Mode

Register,Address,Value
Res_Req Reg,d009,0x000c

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.78,1.112,85.8,77.0,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,126.96,39.008,ade8
0x44,01df,1.34,1.112,147.4,132.99,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.37,3.28,121.44,36.984,ade8

Total Power,,,,626.8

Test Condition,,Description,Power Measurement - SGMII Port Disabled

Register,Address,Value
Res_Req Reg,fa01,0x0030

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.92,1.112,85.8,77.99,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.35,1.112,147.4,133.98,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,630.48

Test Condition,,Description,Power Measurement - GPHY0 Disabled

Register,Address,Value
Res_Req Reg,fa01,0x0031

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.81,1.108,90.2,79.97,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.42,3.296,147.2,43.976,ade8
0x44,01df,2.13,1.112,237.6,212.96,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,743.48

Test Condition,,Description,"Power Measurement - GPHY0,GPHY1 Disabled"

Register,Address,Value
Res_Req Reg,fa01,0x0033

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.52,1.108,57.2,52.03,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.48,3.296,138.0,44.988,ade8
0x44,01df,1.96,1.112,220.0,196.02,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,683.68

Test Condition,,Description,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"

Register,Address,Value
Res_Req Reg,fa01,0x0037

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.38,1.112,44.0,37.95,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.78,1.112,198.0,176.99,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,639.28

Test Condition,,Description,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"

Register,Address,Value
Res_Req Reg,fa01,0x003f

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.25,1.112,28.6,24.97,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.59,1.112,176.0,158.95,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.37,3.28,123.28,36.984,ade8

Total Power,,,,601.88

Test Condition,,Description,Power Measurement - ROPLL Disable

Register,Address,Value
Res_Req Reg,f980,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.25,1.108,28.6,24.97,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.35,3.296,114.08,35.972,ade8
0x44,01df,1.56,1.108,173.8,155.98,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.38,3.28,121.44,37.996,ade8

Total Power,,,,567.72

Test Condition,,Description,Power Measurement with CDB Disable

Register,Address,Value
Res_Req Reg,f880,0x0000

Power Measurement Results

ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.08,1.108,6.6,8.03,9174
0x41,01df,0.44,2.504,112.2,44.0,9174
0x43,01df,0.28,3.296,93.84,27.968,ade8
0x44,01df,0.08,1.112,6.6,8.03,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.23,3.28,75.44,23.0,ade8

Total Power,,,,312.28

