Device Fuse Register Read,
FW Version,8517
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.23,3.312,71.76,23.0,ade8
Total Power,,,,603.56

Test Condition,F24S in Reset
Register,Address,Value
Res_Req Reg,fa01,0x0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.84,1.112,94.6,85.03,9174
0x41,01df,0.44,2.496,107.8,44.99,9174
0x43,01df,0.39,3.3,138.0,40.02,ade8
0x44,01df,1.55,1.104,173.8,154.99,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.23,3.312,71.76,23.0,ade8
Total Power,,,,603.56

Test Condition,"All Ports No Cable, Out of Reset(All GPhys in Reset Disabled)"
Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.39,1.108,61.6,55.0,9174
0x41,01df,0.45,2.496,112.2,44.0,9174
0x43,01df,0.45,3.296,147.2,51.98,ade8
0x44,01df,1.57,1.108,173.8,155.98,9174
0x45,01df,0.08,2.5,17.6,7.04,9174
0x47,01df,0.21,3.312,75.44,20.976,ade8
Total Power,,,,587.84

Test Condition,Uc Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0010

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.38,1.112,44.0,53.02,9174
0x41,01df,0.45,2.496,107.8,44.99,9174
0x43,01df,0.39,3.296,128.8,40.02,ade8
0x44,01df,1.35,1.104,147.4,134.97,9174
0x45,01df,0.08,2.5,17.6,8.03,9174
0x47,01df,0.23,3.312,69.92,23.0,ade8
Total Power,,,,515.52

Test Condition,Switch off ONLY SGMII Serdes D009==>000c
Register,Address,Value
Res_Req Reg,D009,0x000C

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.38,1.112,44.0,37.95,9174
0x41,01df,0.44,2.496,107.8,44.0,9174
0x43,01df,0.4,3.296,128.8,40.02,ade8
0x44,01df,1.35,1.104,147.4,134.97,9174
0x45,01df,0.07,2.5,17.6,8.03,9174
0x47,01df,0.21,3.312,75.44,23.0,ade8
Total Power,,,,521.04

Test Condition,Switch off ONLY SGMII Serdes + FA01 -> 0030
Register,Address,Value
Res_Req Reg,FA01,0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.38,1.108,44.0,46.97,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.48,3.296,160.08,44.988,ade8
0x44,01df,1.02,1.104,112.2,101.97,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.2,3.312,66.24,19.044,ade8
Total Power,,,,514.52

Test Condition,GPHY0 Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0031

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.66,1.112,57.2,51.04,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.39,3.296,128.8,40.02,ade8
0x44,01df,0.82,1.104,90.2,80.96,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.19,3.312,66.24,20.976,ade8
Total Power,,,,474.44

Test Condition,"GPHY0,GPHY1 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0033

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.49,1.112,39.6,34.98,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.4,3.296,132.48,42.044,ade8
0x44,01df,0.62,1.104,68.2,62.04,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.21,3.312,69.92,20.976,ade8
Total Power,,,,442.2

Test Condition,"GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.33,1.112,35.2,36.96,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,0.41,1.108,46.2,41.03,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.21,3.312,66.24,19.964,ade8
Total Power,,,,408.44

Test Condition,"GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.32,1.112,35.2,32.01,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,0.2,1.104,22.0,20.02,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.21,3.316,66.24,19.044,ade8
Total Power,,,,384.24

Test Condition,ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.32,1.112,35.2,32.01,9174
0x41,01df,0.46,2.496,114.4,45.98,9174
0x43,01df,0.41,3.296,136.16,41.032,ade8
0x44,01df,0.21,1.104,22.0,21.01,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.21,3.312,62.56,20.976,ade8
Total Power,,,,387.92

Test Condition,CDB Disabled
Register,Address,Value
Res_Req Reg,F880,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,6.6,9.02,9174
0x41,01df,0.46,2.496,114.4,46.97,9174
0x43,01df,0.33,3.296,108.56,34.04,ade8
0x44,01df,0.17,1.108,17.6,17.05,9174
0x45,01df,0.07,2.5,17.6,7.04,9174
0x47,01df,0.19,3.312,69.92,20.976,ade8
Total Power,,,,334.68

